,1,2,3,4,5,6
1,0.992,0.006,0.0,0.001,0.001,0.0
2,0.012,0.901,0.004,0.07,0.007,0.006
3,0.0,0.0,0.997,0.001,0.002,0.0
4,0.001,0.105,0.001,0.892,0.0,0.0
5,0.001,0.0,0.0,0.005,0.992,0.001
6,0.0,0.01,0.0,0.0,0.0,0.99
