atributo,importancia_media
attr_26,15.975843698639453
attr_5,14.263462910588972
attr_15,13.431155125675796
attr_14,12.28841690913674
attr_4,10.989978016757377
attr_20,10.326220259235225
attr_21,10.3229853412574
attr_22,9.827585344631041
attr_31,9.754767071697508
attr_28,8.869543580959512
attr_30,7.847002552843279
attr_6,7.24922477156548
attr_7,7.172800468607884
attr_29,7.090173421163416
attr_33,6.869921812142926
attr_8,6.7580354490732875
attr_9,6.572460997426814
attr_27,6.4509391088401955
attr_24,6.415385678672634
attr_12,5.759121497655055
attr_25,5.6736314679349
attr_10,5.606185583579108
attr_2,5.582723390045248
attr_16,5.503848894627367
attr_23,5.289656315252687
attr_13,5.159786545843109
attr_17,4.829025504458903
attr_19,4.745107321207943
attr_18,4.400852126371228
attr_32,4.27344059644739
attr_3,4.242544351093633
attr_1,4.0263153833441
attr_11,3.9909045007555077
attr_34,3.6381206247051185
