Configuração,Acurácia média,Variância da acurácia,Precisão (macro) média,Precisão (weighted) média
Todos os atributos,0.9645454545454545,0.00023359757125990927,0.9626034160310307,0.966599802832078
Apenas clínicos,0.8443636363636365,0.0009972676673975364,0.8465811094038258,0.8604137703184513
Apenas histopatológicos,0.9290909090909091,0.0005296002698600108,0.9276593581290546,0.936919108252868
